key,en,es,ru,ko,ja,it,de,fr,nl,zh,ar,ur
addressBookText,Address Book,Directorio,Адресная книга,주소록,住所録,Rubrica,Adressbuch,Carnet d'adresses,Adresboek,地址簿,دليل العناوين,ایڈریس بک
trackOrderText,Track Order,Orden de pista,Отследить заказ,주문을 추적하다,トラックオーダー,Ordine dei brani,Bestellung verfolgen,Suivi de commande,Order volgen,轨道顺序,ترتيب المسار,اپنے آرڈر کا پتا لگائیے
careersText,Careers,Carreras,Карьера,경력,キャリア,Carriere,Karriere,Carrières,Carrière,职业,وظائف,کیریئر
helpTheNeedyText,Help The Needy,Ayuda a los necesitados,Помогите нуждающимся,가난한 사람들을 도와주세요,貧しい人を助けてください,Aiutare i bisognosi,Helfen Sie den Bedürftigen,Aider les nécessiteux,Help de behoeftigen,帮助有需要的人,مساعدة المحتاجين,ضرورت مندوں کی مدد کریں
secureShoppingText,Secure Shopping,Compras seguras,Безопасные покупки,안전한 쇼핑,安全な買い物,Shopping sicuro,Sichern Sie einkaufen,Shopping sécurisé,Beveilig winkelen,确保购物,تسوق آمن,محفوظ خریداری
influencerRegistrationText,Influencer Registration,Registro de influencia,Регистрация влияния,인플 루 언서 등록,インフルエンサー登録,Registrazione dell'influencer,Influencer -Registrierung,Enregistrement d'influence,Influencer registratie,影响者注册,تسجيل المؤثر,اثر انگیز رجسٹریشن
affiliateText,Affiliate Program,programa de afiliación,Партнерская программа,제휴 프로그램,アフィリエイトプログラム,programma affiliato,Partnerprogramm,Programme d'affiliation,Affiliate-programma,会员计划,إنضم لبرنامج,وابستہ پروگرام
advancedSearchText,Advanced Search,Búsqueda Avanzada,Расширенный поиск,고급 검색,高度な検索,Ricerca Avanzata,Erweiterte Suche,Recherche Avancée,geavanceerd zoeken,高级搜索,البحث المتقدم,اعلی درجے کی تلاش
privacyPolicyText,Privacy Policy,Política de privacidad,Политика конфиденциальности,개인 정보 정책,プライバシーポリシー,politica sulla riservatezza,Datenschutz-Bestimmungen,Politique de confidentialité,Privacybeleid,隐私政策,سياسة الخصوصية,رازداری کی پالیسی
termsConditionsText,Terms & Conditions,Términos y condiciones,Условия и условия,이용 약관,利用規約,Termini & Condizioni,Terms & amp; Bedingungen,termes et conditions,algemene voorwaarden,条款和条件,البنود و الظروف,شرائط و ضوابط
aboutText,About,Sobre,О,에 대한,約,Di,Um,À propos de,Over,关于,حول,کے بارے میں
aboutUsMyAccountText,About Us,Sobre nosotros,О нас,우리에 대해,私たちに関しては,Chi siamo,Über uns,À propos de nous,Over ons,关于我们,معلومات عنا,ہمارے بارے میں
referFriendMyAccountText,Refer A Friend And Earn Discount,Consulte a un amigo y gane descuento,Сведите друга и заработайте скидку,친구를 추천하고 할인을 받으십시오,友達を紹介し、割引を獲得してください,Fare riferimento a un amico e guadagnare sconto,Verweisen Sie einen Freund und verdienen Sie Rabatt,Référez-vous à un ami et gagnez une remise,Verwijs een vriend en verdien korting,推荐朋友并赢得折扣,أحيل صديقًا وكسب خصمًا,ایک دوست کا حوالہ دیں اور رعایت حاصل کریں
returnsText,Returns And Refunds,Devoluciones y reembolsos,Возврат и возврат средств,반품 및 환불,返品と払い戻し,Resi e rimborsi,Rückgaben und Rückerstattungen,Retours et remboursements,Retourneert en terugbetalingen,退货和退款,الأستبدال والترجيع,واپسی اور رقم کی واپسی
contactUsText,Contact Us,Contáctenos,Свяжитесь с нами,문의하기,お問い合わせ,Contattaci,Kontaktiere uns,Nous contacter,Neem contact met ons op,联系我们,اتصل بنا,ہم سے رابطہ کریں
faqMyAccountText,Faq,Preguntas más frecuentes,Часто задаваемые вопросы,자주하는 질문,よくある質問,FAQ,FAQ,FAQ,FAQ,常问问题,التعليمات,عمومی سوالات
liveChatText,Live Chat,Chat en vivo,Живой чат,라이브 채팅,ライブチャット,Chat dal vivo,Live-Chat,Chat en direct,Live chat,在线聊天,دردشة مباشرة,براہراست گفتگو
startChatText,Start the chat,Comience el chat,Начните чат,채팅을 시작하십시오,チャットを開始します,Inizia la chat,Starten Sie den Chat,Commencer le chat,Start de chat,开始聊天,ابدأ الدردشة,چیٹ شروع کریں
accountText,Account,Cuenta,Счет,계정,アカウント,Account,Konto,Compte,Account,帐户,الحساب,کھاتہ
giftVouchersText,Gift Vouchers,Vales de regalo,Подарочные ваучеры,상품권,ギフト券,buoni regalo,Geschenkgutschein,Chèques cadeaux,Cadeaubonnen,礼品卡,قسائم الهدايا,تحفہ واؤچر
ourSocialInitiativeText,Our Social Initiative,Nuestra iniciativa social,Наша социальная инициатива,우리의 사회적 이니셔티브,私たちの社会的イニシアチブ,La nostra iniziativa sociale,Unsere soziale Initiative,Notre initiative sociale,Ons sociale initiatief,我们的社会倡议,مبادرتنا الاجتماعية,ہمارا معاشرتی اقدام
bloggerRegistrationText,Blogger Registration,Registro de blogger,Регистрация блоггера,블로거 등록,ブロガー登録,Registrazione del blogger,Blogger -Registrierung,Inscription au blogueur,Bloggerregistratie,博客注册,تسجيل المدون,بلاگر رجسٹریشن
addressesText,Addresses,Direcciones,Адреса,구애,アドレス,Indirizzi,Adressen,Adresses,Adressen,地址,عناوين,پتے
billingText,Billing,Facturación,Биллинг,청구,請求する,Fatturazione,Abrechnung,Facturation,Het factureren,计费,الفواتير,بلنگ
shippingText,Shipping,Transporte,Перевозки,배송,運送,Spedizione,Versand,Expédition,Verzenden,船运,شحن,شپنگ
aboutBrandsTxxt,About Brands And Labels,Sobre marcas y etiquetas,О брендах и лейблах,브랜드 및 레이블에 대해,ブランドとラベルについて,Su marchi ed etichette,Über Marken und Etiketten,Sur les marques et les étiquettes,Over merken en labels,关于品牌和标签,حول العلامات التجارية والعلامات,برانڈز اور لیبل کے بارے میں
helpAndInfoText,Help and Information,Ayuda e información,Помощь и информация,도움과 정보,助けと情報,Aiuto e informazioni,Hilfe und Informationen,Aide et information,Help en informatie,帮助和信息,المساعدة والمعلومات,مدد اور معلومات
morefromBrandsText,More from Brands&Labels,Más de marcas y etiquetas,Больше от брендов и лейблов,브랜드 및 라벨에서 더 많은 것입니다,ブランドとラベルの詳細,Altro da marchi ed etichette,Mehr von Brands & Labels,Plus de marques et d'étiquettes,Meer van merken en labels,来自品牌和标签的更多信息,المزيد من العلامات التجارية والعلامات,برانڈز اور لیبل سے زیادہ
newsletterText,NEWSLETTER,BOLETIN INFORMATIVO,НОВОСТНАЯ РАССЫЛКА,뉴스 레터,ニュースレター,Newsletter,NEWSLETTER,BULLETIN,NIEUWSBRIEF,通讯,النشرة الإخبارية,نیوز لیٹر
chooseCountryText,Choose Your Country,Elige tu país,Выберите вашу страну,당신의 나라를 선택하시오,あなたの国を選択してください,Scegli il tuo paese,Wähle dein Land,Choisis ton pays,Kies je land,选择你的国家,اختر بلدك,اپنے ملک کا انتخاب کریں
saveAddressText,Save Address,Guardar la dirección,Сохраните адрес,주소를 저장하십시오,アドレスを保存します,Salva indirizzo,Adresse speichern,ARRESSION SAVE,Opslaan adres,保存地址,حفظ العنوان,ایڈریس محفوظ کریں
onSocialText,Our Social Initiatives,Nuestras iniciativas sociales,Наши социальные инициативы,우리의 사회적 이니셔티브,私たちの社会的イニシアチブ,Le nostre iniziative sociali,Unsere sozialen Initiativen,Nos initiatives sociales,Onze sociale initiatieven,我们的社会举措,مبادراتنا الاجتماعية,ہمارے معاشرتی اقدامات
bloggerText,Blogger Registration,Registro de blogger,Регистрация блоггера,블로거 등록,ブロガー登録,Registrazione del blogger,Blogger -Registrierung,Inscription au blogueur,Bloggerregistratie,博客注册,تسجيل المدون,بلاگر رجسٹریشن
referText,Refer A Friends And Earn Discounts,Consulte a amigos y gane descuentos,Отправьте друзей и зарабатывайте скидки,친구를 참조하고 할인을 받으십시오,友達を紹介し、割引を獲得します,Fare riferimento a un amico e guadagnare sconti,Verweisen Sie Freunde und verdienen Sie Rabatte,Référez-vous à des amis et remporte les réductions,Verwijs een vrienden en verdien kortingen,推荐朋友并赢得折扣,إحالة الأصدقاء وكسب الخصومات,دوستوں کو دیکھیں اور چھوٹ حاصل کریں
getAllText,"Get all the latest information on Event, Sales and Offers. Sign","Obtenga toda la información más reciente sobre evento, ventas y ofertas. Señal","Получите всю последнюю информацию о событиях, продажах и предложениях. Знак","이벤트, 판매 및 제안에 대한 모든 최신 정보를 얻으십시오. 징후",イベント、販売、オファーに関するすべての最新情報を入手してください。サイン,"Ottieni tutte le ultime informazioni su eventi, vendite e offerte. Cartello","Holen Sie sich die neuesten Informationen zu Event, Verkauf und Angeboten. Schild","Obtenez toutes les dernières informations sur l'événement, les ventes et les offres. Pancarte","Ontvang de laatste informatie over evenement, verkoop en aanbiedingen. Teken",获取有关活动，销售和优惠的所有最新信息。符号,احصل على أحدث المعلومات حول الحدث والمبيعات والعروض. إشارة,ایونٹ ، سیلز اور آفرز سے متعلق تمام تازہ ترین معلومات حاصل کریں۔ دستخط کریں
exploreText,Explore 100’s of Brands at Special Prices,Explore los 100 de marcas a precios especiales,Изучить 100 брендов по специальным ценам,특별 가격으로 100 개 브랜드를 탐색하십시오,特別価格で100個のブランドを探索してください,Esplora 100 di marchi a prezzi speciali,Entdecken Sie 100 Marken zu besonderen Preisen,Explorez 100 marques à des prix spéciaux,Verken 100's merken tegen speciale prijzen,以特价探索100个品牌,استكشف 100 من العلامات التجارية بأسعار خاصة,خصوصی قیمتوں پر 100 کے برانڈز کو دریافت کریں
yourAppExpericanceText,Your app experience is set to,La experiencia de su aplicación está configurada para,Ваше приложение настроено на,앱 경험이 설정됩니다,アプリエクスペリエンスはに設定されています,La tua esperienza di app è impostata su,Ihre App -Erfahrung ist auf,Votre expérience d'application est définie sur,Uw app -ervaring is ingesteld op,您的应用程序经验设置为,تم تعيين تجربة التطبيق الخاصة بك على,آپ کے ایپ کا تجربہ سیٹ ہے
indiaText,INDIA (IND) - ENGLISH (IND),India (Ind) - Inglés (Ind),Индия (Ind) - английский (Ind),인도 (Ind) - 영어 (IND),インド（Ind） - 英語（Ind）,India (IND) - English (IND),Indien (Ind) - Englisch (Ind),Inde (IND) - Anglais (IND),India (IND) - Engels (Ind),印度（印度） - 英语（IND）,الهند (Ind) - اللغة الإنجليزية (IND),ہندوستان (انڈ) - انگریزی (انڈ)
englishIsAlsoText,"ENGLISH is also available in your
location. Would you like to change?","El inglés también está disponible en su
ubicación. ¿Te gustaría cambiar?","Английский также доступен в вашем
расположение. Хотели бы вы измениться?","영어도 귀하의 경우에도 제공됩니다
위치. 변경 하시겠습니까?","英語もご利用いただけます
位置。変更しますか？","L'inglese è disponibile anche nel tuo
Posizione. Vorresti cambiare?","Englisch ist auch in Ihrem erhältlich
Lage. Möchten Sie ändern?","L'anglais est également disponible dans votre
emplacement. Souhaitez-vous changer?","Engels is ook beschikbaar in uw
plaats. Wil je veranderen?","您的英语也可以在您的
地点。您想改变吗？","اللغة الإنجليزية متوفرة أيضًا في الخاص بك
موقعك. هل ترغب في التغيير؟","انگریزی بھی آپ میں دستیاب ہے
مقام کیا آپ تبدیل کرنا چاہیں گے؟"
noThanksText,"No, Thanks","No, gracias","Спасибо, не надо",고맙지 만 사양 할게,結構です,No grazie,Nein Danke,Non merci,"Nee, dank u wel",不，谢谢,لا شكرا,نہیں شکریہ
changeText,CHANGE,CAMBIO,СДАЧА,변화,変化する,MODIFICARE,RÜCKGELD,MONNAIE,WIJZIGEN,改变,يتغيرون,تبدیل کریں
myWidhListText,My Wish List,Mi lista de deseos,Мой список желаний,내 위시리스트,私のウィッシュリスト,La mia lista dei desideri,Meine Wunschliste,Ma liste d'envies,Mijn wenslijst,我的收藏,قائمة امنياتي,میری خواہشات کی فہرست
accountInfoText,Account Information,Información de la cuenta,Информация Об Учетной Записи,계정 정보,口座情報,Informazioni account,Kontoinformationen,Information sur le compte,Account Informatie,帐户信息,معلومات الحساب,اکاؤنٹ کی معلومات
storePaymentText,Store Payment Methods,Métodos de pago de almacenamiento,Хранить методы оплаты,상점 지불 방법,支払い方法を保存します,Memorizzare metodi di pagamento,Zahlungsmethoden speichern,Méthodes de paiement en magasin,Bewaar betaalmethoden,商店付款方式,تخزين أساليب الدفع,ادائیگی کے طریقے اسٹور کریں
newsletterSubText,Newsletter Subscriptions,Suscripciones a los boletines,Подписки на информационные бюллетени,뉴스 레터 구독,ニュースレターサブスクリプション,Abbonamenti a newsletter,Newsletter-Abos,Abonnement à la Newsletter,Nieuwsbrief Abonnementen,新闻通讯订阅,اشتراك الرسائل الإخبارية,نیوز لیٹر سبسکرپشنز
youaddCartText,You have added,has agregado,Вы добавили,당신은 추가했습니다,追加しました,Hai aggiunto,Du hast hinzugefügt,Vous avez ajouté,Jij hebt toegevoegd,您添加了,لقد قمت بإضافة,آپ نے شامل کیا ہے
toShoopingCartText,to shopping cart.,al carrito de compras.,в корзину.,쇼핑 카트에.,ショッピングカートに。,al carrello della spesa.,zum Einkaufswagen.,au panier.,naar winkelwagen.,去购物车。,لعربة التسوق.,خریداری کی ٹوکری میں۔
gotoCartText,Go To The Cart,Ir al carro,Ходить в корзину,카트로 가십시오,カートに行きます,Vai al carrello,In den Karren gehen,Aller au chariot,Ga naar de kar,去购物车,اذهب إلى العربة,کارٹ پر جائیں
continueShoppingText,Continue Shopping,Seguir comprando,Продолжить покупки,쇼핑을 계속,ショッピングを続ける,Continua a fare acquisti,Mit dem Einkaufen fortfahren,Continuer vos achats,Doorgaan met winkelen,继续购物,مواصلة التسوق,خریداری جاری
totalText,Total,Total,Общий,총,合計,Totale,Gesamt,Total,Totaal,全部的,المجموع,کل
itemCartText,Items In your cart,Objetos en tu carro de compras,Предметы в вашей корзине,카트에있는 항목,カートのアイテム,Articoli nel tuo carrello,Produkte in Ihrem Einkaufswagen,Articles dans votre panier,Items in uw winkelwagen,购物车中的物品,الوحدات الموجودة فى سلة التسوق الخاصة بك,آپ کی ٹوکری میں اشیا
affiliateProgramTitleText,Brand&Labels Affiliate Program,Programa de afiliados de marca y etiquetas,Партнерская программа брендов и лейблов,브랜드 및 레이블 제휴 프로그램,ブランド＆ラベルアフィリエイトプログラム,Programma di affiliazione del marchio ed etichette,Marken- und Labels Partnerprogramm,Programme d'affiliation de marque et étiquettes,Merk- en labels aangesloten programma,品牌和标签会员计划,برنامج تابع للعلامات التجارية والعلامات,برانڈ اور لیبل سے وابستہ پروگرام
whoAreWeLookingTitleText,Who are we looking for?,¿A quien estamos buscando?,Кого мы ищем?,우리는 누구를 찾고 있습니까?,私たちは誰を探していますか？,Chi stiamo cercando?,Wen suchen wir?,Qui recherchons-nous?,Wie zoeken we?,我们在找谁？,الذي نبحث عنه؟,ہم کس کی تلاش کر رہے ہیں؟
whoAreWeLookingDescriptionOneText,"Do you have a fashion-forward, luxury oriented website, blog, social media profile that is trend savvy with an international outlook? Is your focus fashion, lifestyle, beauty and design? If so, we are looking for you!

Join our global Affiliate Program and you will have the opportunity to earn a commission every time your visitors purchase from BRAND&LABELS.","¿Tiene un sitio web, blog, perfil de redes sociales de moda y orientación de lujo que es un experto en tendencias con una perspectiva internacional? ¿Es tu enfoque de moda, estilo de vida, belleza y diseño? Si es así, ¡te estamos buscando a ti!

Únase a nuestro programa de afiliados globales y tendrá la oportunidad de ganar una comisión cada vez que sus visitantes compren de marca y etiquetas.","У вас есть модный, ориентированный на роскошный веб-сайт, блог, профиль в социальных сетях, который является подкованным с международным перспективами? Ваша фокус мода, образ жизни, красота и дизайн? Если так, мы ищем тебя!

Присоединяйтесь к нашей глобальной партнерской программе, и у вас будет возможность зарабатывать комиссию каждый раз, когда ваши посетители покупают у брендов и лейблов.","국제적인 전망으로 정통한 트렌드 인 패션 포워드, 럭셔리 지향적 웹 사이트, 블로그, 소셜 미디어 프로필이 있습니까? 초점 패션, 라이프 스타일, 아름다움 및 디자인입니까? 그렇다면 우리는 당신을 찾고 있습니다!

글로벌 제휴 프로그램에 가입하면 방문자가 브랜드 및 레이블에서 구매할 때마다 커미션을받을 수 있습니다.","国際的な見通しでトレンドに精通している、流行の豪華なウェブサイト、ブログ、ソーシャルメディアプロファイルはありますか？あなたのフォーカスファッション、ライフスタイル、美しさ、デザインですか？もしそうなら、私たちはあなたを探しています！

グローバルアフィリエイトプログラムに参加すると、訪問者がブランド＆ラベルから購入するたびに手数料を獲得する機会があります。","Hai un sito Web di moda orientato alla moda, blog, profilo di social media che è esperto di tendenza con una prospettiva internazionale? Il tuo focus è la moda, lo stile di vita, la bellezza e il design? Se è così, ti stiamo cercando!

Unisciti al nostro programma di affiliazione globale e avrai l'opportunità di guadagnare una commissione ogni volta che i tuoi visitatori acquistano da Brand & Labels.","Haben Sie eine modische, luxuriöser Website, ein Blog und ein soziales Medienprofil, das mit einem internationalen Ausblick auf den Trend ist? Ist Ihre Fokus Mode, Lebensstil, Schönheit und Design? Wenn ja, suchen wir Sie!

Nehmen Sie an unserem globalen Partnerprogramm teil und Sie haben die Möglichkeit, jedes Mal, wenn Ihre Besucher bei Brand & Labels kaufen, eine Provision zu erhalten.","Avez-vous un site Web de luxe et avant-gardiste, un blog, un profil de médias sociaux qui est averti des tendances avec une perspective internationale? Est-ce que votre mode de mise au point, le style de vie, la beauté et le design? Si oui, nous sommes à la recherche pour vous!

Rejoignez notre programme mondial d'affiliation et vous aurez la possibilité de gagner une commission chaque fois que vos visiteurs achètent auprès de Brand & Labels.","Heb je een modieuze, luxe georiënteerde website, blog, sociale media-profiel die trend savvy is met een internationale vooruitzichten? Is uw focusmode, levensstijl, schoonheid en ontwerp? Als dat zo is, zijn we op zoek naar u!

Word lid van ons Global Affiliate Program en u krijgt de mogelijkheid om een ​​commissie te verdienen telkens wanneer uw bezoekers kopen bij Brand & Labels.","您是否有一个面向时尚的，奢侈的网站，博客，社交媒体资料，具有国际展望的趋势？您的重点时尚，生活方式，美丽和设计是吗？如果是这样，我们正在寻找您！

加入我们的全球会员计划，您将有机会每次访问者从品牌和标签中购买时赚取佣金。","هل لديك موقع ويب للأزياء المتجهة إلى الأمام ، والمدونة ، وملف تعريف التواصل الاجتماعي ، وهو أمر ذكي الاتجاه مع النظرة الدولية؟ هل التركيز على الأزياء وأسلوب الحياة والجمال والتصميم؟ إذا كان الأمر كذلك، ونحن نبحث لك!

انضم إلى برنامجنا التابع العالمي وستتاح لك الفرصة لكسب عمولة في كل مرة يشتري فيها زوارك من العلامات التجارية والعلامات.","کیا آپ کے پاس فیشن فارورڈ ، لگژری پر مبنی ویب سائٹ ، بلاگ ، سوشل میڈیا پروفائل ہے جو بین الاقوامی نقطہ نظر کے ساتھ رجحان پریمی ہے؟ کیا آپ کا فوکس فیشن ، طرز زندگی ، خوبصورتی اور ڈیزائن ہے؟ اگر ایسا ہے تو ، ہم آپ کی تلاش کر رہے ہیں!

ہمارے عالمی وابستہ پروگرام میں شامل ہوں اور جب بھی آپ کے زائرین برانڈ اور لیبل سے خریداری کرتے ہیں تو آپ کو کمیشن حاصل کرنے کا موقع ملے گا۔"
whatCanYouExpectTitleText,What can you expect?,¿Qué puedes esperar?,Чего вы можете ожидать?,무엇을 기대할 수 있습니까?,何を期待できますか？,Cosa puoi aspettarti?,Was können Sie erwarten?,À quoi pouvez-vous vous attendre?,Wat kunt u verwachten?,您可以期待什么？,ماذا يمكنك أن تتوقع؟,آپ کیا توقع کرسکتے ہیں؟
expectRuleOneText,Commission on all approved net sales,Comisión sobre todas las ventas netas aprobadas,Комиссия по всем утвержденным чистым продажам,승인 된 모든 순 매출에 대한 커미션,承認されたすべての純売上高に関する手数料,Commissione su tutte le vendite nette approvate,Provision für alle genehmigten Nettoumsätze,Commission sur toutes les ventes nettes approuvées,Commissie op alle goedgekeurde netto -omzet,所有批准的净销售额委托,لجنة على جميع المبيعات الصافية المعتمدة,تمام منظور شدہ خالص فروخت پر کمیشن
expectRuleTwoText,45 days cookie window,Ventana de galletas de 45 días,45 -дневное окно печенья,45 일 쿠키 창,45日間のクッキーウィンドウ,Finestra di cookie da 45 giorni,45 Tage Keksfenster,Fenêtre de biscuits de 45 jours,45 dagen cookie -raam,45天Cookie窗口,45 يومًا من نافذة ملفات تعريف الارتباط,45 دن کوکی ونڈو
expectRuleThreeText,Data feed updated multiple times per day,Feed de datos actualizado varias veces al día,Подача данных обновляется несколько раз в день,데이터 피드는 하루에 여러 번 업데이트되었습니다,データフィードは1日に複数回更新されました,Feed di dati aggiornato più volte al giorno,Datenfeed mehrmals pro Tag aktualisiert,Flux de données mis à jour plusieurs fois par jour,Gegevens feed meerdere keren per dag bijgewerkt,数据提要每天更新多次,تم تحديث تغذية البيانات عدة مرات في اليوم,ڈیٹا فیڈ ایک دن میں متعدد بار اپ ڈیٹ ہوتا ہے
expectRuleFourText,"Access to customized banners, textlinks, deeplinks and our datafeed in 9 languages (English, Italian, French, German, Korean, Spanish, Chinese,Russian & Japanese)","Acceso a pancartas personalizadas, enlaces de texto, enlaces profundos y nuestra tarjeta de datos en 9 idiomas (inglés, italiano, francés, alemán, coreano, español, chino, ruso y japonés)","Доступ к индивидуальным баннерам, Textlinks, Deeplinks и нашим данным на 9 языках (английский, итальянский, французский, немецкий, корейский, испанский, китайский, русский и японский)","9 언어 (영어, 이탈리아, 프랑스어, 독일어, 한국, 스페인어, 중국어, 러시아어 및 일본어)의 맞춤형 배너, 텍스트 링크, Deeplinks 및 데이터 피드에 대한 액세스)",9言語でのカスタマイズされたバナー、テキストリンク、ディープリンク、およびデータフィードへのアクセス（英語、イタリア語、フランス語、ドイツ語、韓国語、スペイン語、中国語、ロシア語）,"Accesso a striscioni personalizzati, TystemLinks, Deeplinks e i nostri dati di dati in 9 lingue (inglese, italiano, francese, tedesco, coreano, spagnolo, cinese, russo e giapponese)","Zugang zu maßgeschneiderten Bannern, Textlinks, Deeplinks und unserem Datenfeed in 9 Sprachen (Englisch, Italienisch, Französisch, Deutsch, Koreanisch, Spanisch, Chinesisch, Russisch und Japanisch)","Accès à des bannières personnalisées, des TextLinks, des links Deep et notre adrage en 9 langues (anglais, italien, français, allemand, coréen, espagnol, chinois, russe et japonais)","Toegang tot op maat gemaakte banners, tekstlinks, deeplinks en onze gegevensveed in 9 talen (Engels, Italiaans, Frans, Duits, Koreaans, Spaans, Chinees, Russisch en Japans)",使用9种语言（英语，意大利语，法语，德语，韩语，西班牙语，中文，俄语和日语）来访问定制的横幅，文本链接，DeepLinks和我们的DataFeed,الوصول إلى لافتات مخصصة ، ووصلات نصية ، و Deeplinks و DataFeed لدينا 9 لغات (الإنجليزية ، والإنجليزية ، والفرنسية ، والألمانية ، والكورية ، والإسبانية ، والصينية ، والروسية واليابانية),اپنی مرضی کے مطابق بینرز ، ٹیکسٹ لنکس ، ڈیپلنکس اور 9 زبانوں میں ہمارے ڈیٹا فیڈ تک رسائی (انگریزی ، اطالوی ، فرانسیسی ، جرمن ، کورین ، ہسپانوی ، چینی ، روسی اور جاپانی)
expectRuleFiveText,The possibility to customize feeds into all world currencies,La posibilidad de personalizar se alimenta en todas las monedas mundiales,Возможность настройки каналов во все мировые валюты,피드를 모든 세계 통화로 사용자 정의 할 가능성,すべての世界通貨にフィードをカスタマイズする可能性,La possibilità di personalizzare i feed in tutte le valute mondiali,"Die Möglichkeit, Futtermittel in alle Weltwährungen anzupassen",La possibilité de personnaliser les aliments dans toutes les monnaies mondiales,De mogelijkheid om feeds aan te passen aan alle wereldvaluta's,自定义提要进入所有世界货币的可能性,إمكانية تخصيص الخلاصات في جميع العملات العالمية,تمام دنیا کی کرنسیوں میں فیڈز کو اپنی مرضی کے مطابق بنانے کا امکان
promoteSoloQuestionText,How can you promote BRAND&LABELS (as an affiliate)?,¿Cómo puede promover la marca y las etiquetas (como afiliado)?,Как вы можете продвигать бренд и лейблы (как филиал)?,브랜드 및 레이블 (제휴사)을 어떻게 홍보 할 수 있습니까?,どのようにして（アフィリエイトとして）ブランドとラベルを宣伝できますか？,Come puoi promuovere il marchio e le etichette (come affiliato)?,Wie können Sie für Marke & Labels (als Partner) bewerben?,Comment pouvez-vous promouvoir la marque et les étiquettes (en tant qu'affilié)?,Hoe kunt u merk en labels promoten (als een gelieerde onderneming)?,您如何推广品牌和标签（作为会员）？,كيف يمكنك الترويج للعلامة التجارية والعلامات (كشركة تابعة)؟,آپ برانڈ اور لیبل (ایک ملحق کے طور پر) کو کس طرح فروغ دے سکتے ہیں؟
promoteSoloAnswerOneText,Creating high-quality and engaging content that mirrors the style of BRAND&LABELS,Creación de contenido de alta calidad y atractivo que refleje el estilo de marca y etiquetas,"Создание высококачественного и привлекательного контента, который отражает стиль брендов и лейблов",브랜드 및 레이블 스타일을 반영하는 고품질 및 매력적인 콘텐츠 작성,ブランドとラベルのスタイルを反映する高品質で魅力的なコンテンツを作成する,Creazione di contenuti di alta qualità e coinvolgenti che rispecchiano lo stile di marchio e etichette,"Erstellen von hochwertigen und ansprechenden Inhalten, die den Stil von Marken- und Labels widerspiegeln",Création de contenu de haute qualité et engageant qui reflète le style de marque et d'étiquettes,Het creëren van hoogwaardige en boeiende inhoud die de stijl van merk en labels weerspiegelt,创建高质量和引人入胜的内容，以反映品牌和标签的风格,إنشاء محتوى عالي الجودة وجذاب يعكس أسلوب العلامة التجارية والعلامات,اعلی معیار اور دل چسپ مواد کی تشکیل جو برانڈ اور لیبل کے انداز کو آئینہ دار کرتی ہے
promoteSoloAnswerTwoText,"Featuring our content, banners and links for multiple categories and events on your website and social media channels","Con nuestro contenido, pancartas y enlaces para múltiples categorías y eventos en su sitio web y canales de redes sociales.","Показывая наш контент, баннеры и ссылки для нескольких категорий и событий на вашем сайте и каналах социальных сетей","귀하의 웹 사이트 및 소셜 미디어 채널의 여러 카테고리 및 이벤트에 대한 컨텐츠, 배너 및 링크를 특징으로합니다.",ウェブサイトやソーシャルメディアチャネルで複数のカテゴリとイベントのコンテンツ、バナー、リンクを紹介する,"Con i nostri contenuti, stendardi e collegamenti per più categorie ed eventi sul tuo sito Web e sui canali di social media","Mit unseren Inhalten, Bannern und Links für mehrere Kategorien und Veranstaltungen auf Ihrer Website und in den Social -Media -Kanälen","Présentant notre contenu, bannières et liens pour plusieurs catégories et événements sur votre site Web et les réseaux sociaux","Met onze inhoud, banners en links voor meerdere categorieën en evenementen op uw website en sociale mediakanalen",在您的网站和社交媒体渠道上提供我们的内容，横幅和链接，用于多个类别和活动,يضم المحتوى واللافتات والروابط لفئات وأحداث متعددة على موقع الويب الخاص بك وقنوات التواصل الاجتماعي,اپنی ویب سائٹ اور سوشل میڈیا چینلز پر متعدد زمروں اور واقعات کے ل our ہمارے مواد ، بینرز اور لنکس کی خاصیت
promoteSoloAnswerThreeText,Promoting the benefits that our customers love,Promoción de los beneficios que aman a nuestros clientes,"Продвижение преимуществ, которые любят наши клиенты",고객이 좋아하는 이점을 홍보합니다,お客様が愛するメリットを促進します,Promuovere i vantaggi che i nostri clienti amano,"Förderung der Vorteile, die unsere Kunden lieben",Promouvoir les avantages que nos clients aiment,De voordelen promoten waar onze klanten van houden,促进我们的客户喜欢的利益,تعزيز الفوائد التي يحبها عملاؤنا,ہمارے صارفین کو ان فوائد کو فروغ دینا
promoteSoloAnswerFourText,A selection of continuously updated articles from the best brands,Una selección de artículos actualizados continuamente de las mejores marcas,Выбор непрерывно обновленных статей из лучших брендов,최고의 브랜드에서 지속적으로 업데이트 된 기사 선택,最高のブランドからの継続的に更新された記事の選択,Una selezione di articoli continuamente aggiornati dai migliori marchi,Eine Auswahl kontinuierlich aktualisierter Artikel der besten Marken,Une sélection d'articles à jour en continu des meilleures marques,Een selectie van continu bijgewerkte artikelen van de beste merken,最佳品牌的连续更新文章的精选,مجموعة مختارة من المقالات المحدثة باستمرار من أفضل العلامات التجارية,بہترین برانڈز کے مستقل طور پر تازہ ترین مضامین کا انتخاب
